v8-version,7,8,279,23,-node.39,0
code-creation,Builtin,3,4909,0x1353260,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,4912,0x13532a0,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,4917,0x13532e0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,4921,0x1353320,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,4925,0x1353380,287,CallApiCallback
code-creation,Builtin,3,4929,0x13534a0,269,CallApiGetter
code-creation,Builtin,3,4932,0x13535c0,12,HandleApiCall
code-creation,Builtin,3,4936,0x13535e0,12,HandleApiCallAsFunction
code-creation,Builtin,3,4940,0x1353600,12,HandleApiCallAsConstructor
code-creation,Builtin,3,4945,0x1353620,92,AllocateInYoungGeneration
code-creation,Builtin,3,4949,0x1353680,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,4953,0x13536e0,92,AllocateInOldGeneration
code-creation,Builtin,3,4957,0x1353740,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,4961,0x13537a0,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,4965,0x13539a0,583,GrowFastDoubleElements
code-creation,Builtin,3,4969,0x1353c00,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,4973,0x1353de0,453,NewArgumentsElements
code-creation,Builtin,3,4976,0x1353fc0,496,DebugBreakTrampoline
code-creation,Builtin,3,4980,0x13541c0,141,FrameDropperTrampoline
code-creation,Builtin,3,4984,0x1354260,45,HandleDebuggerStatement
code-creation,Builtin,3,4988,0x13542a0,282,ToObject
code-creation,Builtin,3,4991,0x13543c0,104,ToBoolean
code-creation,Builtin,3,4995,0x1354440,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4999,0x1354560,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,5003,0x1354680,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,5007,0x1354760,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,5011,0x1354840,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,5015,0x1354920,85,StringToNumber
code-creation,Builtin,3,5019,0x1354980,129,ToName
code-creation,Builtin,3,5022,0x1354a20,243,NonNumberToNumber
code-creation,Builtin,3,5026,0x1354b20,259,NonNumberToNumeric
code-creation,Builtin,3,5030,0x1354c40,235,ToNumber
code-creation,Builtin,3,5033,0x1354d40,272,ToNumberConvertBigInt
code-creation,Builtin,3,5037,0x1354e60,275,ToNumeric
code-creation,Builtin,3,5040,0x1354f80,261,NumberToString
code-creation,Builtin,3,5044,0x13550a0,466,ToInteger
code-creation,Builtin,3,5048,0x1355280,478,ToInteger_TruncateMinusZero
code-creation,Builtin,3,5052,0x1355460,394,ToLength
code-creation,Builtin,3,5055,0x1355600,140,Typeof
code-creation,Builtin,3,5058,0x13556a0,69,GetSuperConstructor
code-creation,Builtin,3,5062,0x1355700,133,BigIntToI64
code-creation,Builtin,3,5097,0x13557a0,12,BigIntToI32Pair
code-creation,Builtin,3,5106,0x13557c0,285,I64ToBigInt
code-creation,Builtin,3,5110,0x13558e0,12,I32PairToBigInt
code-creation,Builtin,3,5114,0x1355900,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,5136,0x1355980,2585,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,5145,0x13563a0,36,KeyedLoadIC_Slow
code-creation,Builtin,3,5168,0x13563e0,16522,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,5176,0x135a480,40,KeyedStoreIC_Slow
code-creation,Builtin,3,5181,0x135a4c0,40,LoadGlobalIC_Slow
code-creation,Builtin,3,5202,0x135a500,68,LoadIC_FunctionPrototype
code-creation,Builtin,3,5211,0x135a560,36,LoadIC_Slow
code-creation,Builtin,3,5232,0x135a5a0,20,LoadIC_StringLength
code-creation,Builtin,3,5241,0x135a5c0,24,LoadIC_StringWrapperLength
code-creation,Builtin,3,5263,0x135a5e0,2940,LoadIC_NoFeedback
code-creation,Builtin,3,5272,0x135b160,40,StoreGlobalIC_Slow
code-creation,Builtin,3,5277,0x135b1a0,6704,StoreIC_NoFeedback
code-creation,Builtin,3,5298,0x135cbe0,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,5307,0x135cc20,368,KeyedLoadIC_SloppyArguments
code-creation,Builtin,3,5329,0x135cda0,80,LoadIndexedInterceptorIC
code-creation,Builtin,3,5337,0x135ce00,40,StoreInterceptorIC
code-creation,Builtin,3,5359,0x135ce40,536,KeyedStoreIC_SloppyArguments_Standard
code-creation,Builtin,3,5368,0x135d060,536,KeyedStoreIC_SloppyArguments_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5391,0x135d280,536,KeyedStoreIC_SloppyArguments_NoTransitionIgnoreOOB
code-creation,Builtin,3,5401,0x135d4a0,536,KeyedStoreIC_SloppyArguments_NoTransitionHandleCOW
code-creation,Builtin,3,5434,0x135d6c0,40,StoreInArrayLiteralIC_Slow_Standard
code-creation,Builtin,3,5461,0x135d700,5784,StoreFastElementIC_Standard
code-creation,Builtin,3,5470,0x135eda0,6716,StoreFastElementIC_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5474,0x13607e0,5776,StoreFastElementIC_NoTransitionIgnoreOOB
code-creation,Builtin,3,5480,0x1361e80,3220,StoreFastElementIC_NoTransitionHandleCOW
code-creation,Builtin,3,5484,0x1362b20,40,StoreInArrayLiteralIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5507,0x1362b60,40,StoreInArrayLiteralIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,5516,0x1362ba0,40,StoreInArrayLiteralIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,5539,0x1362be0,40,KeyedStoreIC_Slow_Standard
code-creation,Builtin,3,5547,0x1362c20,40,KeyedStoreIC_Slow_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5570,0x1362c60,40,KeyedStoreIC_Slow_NoTransitionIgnoreOOB
code-creation,Builtin,3,5579,0x1362ca0,40,KeyedStoreIC_Slow_NoTransitionHandleCOW
code-creation,Builtin,3,5601,0x1362ce0,9184,ElementsTransitionAndStore_Standard
code-creation,Builtin,3,5610,0x13650e0,18756,ElementsTransitionAndStore_GrowNoTransitionHandleCOW
code-creation,Builtin,3,5633,0x1369a40,9184,ElementsTransitionAndStore_NoTransitionIgnoreOOB
code-creation,Builtin,3,5642,0x136be40,12032,ElementsTransitionAndStore_NoTransitionHandleCOW
code-creation,Builtin,3,5664,0x136ed60,764,KeyedHasIC_PolymorphicName
code-creation,Builtin,3,5673,0x136f060,328,KeyedHasIC_SloppyArguments
code-creation,Builtin,3,5695,0x136f1c0,80,HasIndexedInterceptorIC
code-creation,Builtin,3,5704,0x136f220,36,HasIC_Slow
code-creation,Builtin,3,5708,0x136f260,181,EnqueueMicrotask
code-creation,Builtin,3,5729,0x136f320,8,RunMicrotasksTrampoline
code-creation,Builtin,3,5738,0x136f340,2012,RunMicrotasks
code-creation,Builtin,3,5759,0x136fb20,2182,HasProperty
code-creation,Builtin,3,5768,0x13703c0,1364,DeleteProperty
code-creation,Builtin,3,5772,0x1370920,1912,CopyDataProperties
code-creation,Builtin,3,5793,0x13710a0,8607,SetDataProperties
code-creation,Builtin,3,5801,0x1373240,36,Abort
code-creation,Builtin,3,5823,0x1373280,36,AbortCSAAssert
code-creation,Builtin,3,5831,0x13732c0,12,EmptyFunction
code-creation,Builtin,3,5835,0x13732e0,12,Illegal
code-creation,Builtin,3,5856,0x1373300,12,StrictPoisonPillThrower
code-creation,Builtin,3,5865,0x1373320,12,UnsupportedThrower
code-creation,Builtin,3,5887,0x1373340,65,ReturnReceiver
code-creation,Builtin,3,5899,0x13733a0,36,ArrayConstructor
code-creation,Builtin,3,5944,0x13733e0,413,ArrayConstructorImpl
code-creation,Builtin,3,5953,0x1373580,233,ArrayNoArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,5958,0x1373680,233,ArrayNoArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,5980,0x1373780,197,ArrayNoArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,5990,0x1373860,197,ArrayNoArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,6013,0x1373940,197,ArrayNoArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,6023,0x1373a20,197,ArrayNoArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,6046,0x1373b00,209,ArrayNoArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,6055,0x1373be0,209,ArrayNoArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,6078,0x1373cc0,313,ArraySingleArgumentConstructor_PackedSmi_DontOverride
code-creation,Builtin,3,6088,0x1373e00,533,ArraySingleArgumentConstructor_HoleySmi_DontOverride
code-creation,Builtin,3,6110,0x1374020,249,ArraySingleArgumentConstructor_PackedSmi_DisableAllocationSites
code-creation,Builtin,3,6123,0x1374120,413,ArraySingleArgumentConstructor_HoleySmi_DisableAllocationSites
code-creation,Builtin,3,6129,0x13742c0,249,ArraySingleArgumentConstructor_Packed_DisableAllocationSites
code-creation,Builtin,3,6157,0x13743c0,413,ArraySingleArgumentConstructor_Holey_DisableAllocationSites
code-creation,Builtin,3,6166,0x1374560,249,ArraySingleArgumentConstructor_PackedDouble_DisableAllocationSites
code-creation,Builtin,3,6189,0x1374660,429,ArraySingleArgumentConstructor_HoleyDouble_DisableAllocationSites
code-creation,Builtin,3,6199,0x1374820,68,ArrayNArgumentsConstructor
code-creation,Builtin,3,6221,0x1374880,5,InternalArrayConstructor
code-creation,Builtin,3,6230,0x13748a0,5,InternalArrayConstructorImpl
code-creation,Builtin,3,6252,0x13748c0,189,InternalArrayNoArgumentConstructor_Packed
