v8-version,7,8,279,23,-node.39,0
code-creation,Builtin,3,2642,0x1353260,52,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2646,0x13532a0,60,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2668,0x13532e0,56,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2675,0x1353320,64,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2680,0x1353380,287,CallApiCallback
code-creation,Builtin,3,2684,0x13534a0,269,CallApiGetter
code-creation,Builtin,3,2705,0x13535c0,12,HandleApiCall
code-creation,Builtin,3,2713,0x13535e0,12,HandleApiCallAsFunction
code-creation,Builtin,3,2717,0x1353600,12,HandleApiCallAsConstructor
code-creation,Builtin,3,2721,0x1353620,92,AllocateInYoungGeneration
code-creation,Builtin,3,2743,0x1353680,80,AllocateRegularInYoungGeneration
code-creation,Builtin,3,2751,0x13536e0,92,AllocateInOldGeneration
code-creation,Builtin,3,2755,0x1353740,80,AllocateRegularInOldGeneration
code-creation,Builtin,3,2759,0x13537a0,498,CopyFastSmiOrObjectElements
code-creation,Builtin,3,2763,0x13539a0,583,GrowFastDoubleElements
code-creation,Builtin,3,2767,0x1353c00,478,GrowFastSmiOrObjectElements
code-creation,Builtin,3,2771,0x1353de0,453,NewArgumentsElements
code-creation,Builtin,3,2775,0x1353fc0,496,DebugBreakTrampoline
code-creation,Builtin,3,2804,0x13541c0,141,FrameDropperTrampoline
code-creation,Builtin,3,2846,0x1354260,45,HandleDebuggerStatement
code-creation,Builtin,3,2887,0x13542a0,282,ToObject
code-creation,Builtin,3,2944,0x13543c0,104,ToBoolean
code-creation,Builtin,3,2984,0x1354440,269,OrdinaryToPrimitive_Number
code-creation,Builtin,3,3010,0x1354560,269,OrdinaryToPrimitive_String
code-creation,Builtin,3,3052,0x1354680,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,3094,0x1354760,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,3120,0x1354840,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,3162,0x1354920,85,StringToNumber
code-creation,Builtin,3,3188,0x1354980,129,ToName
code-creation,Builtin,3,3199,0x1354a20,243,NonNumberToNumber
code-creation,Builtin,3,3203,0x1354b20,259,NonNumberToNumeric
code-creation,Builtin,3,3207,0x1354c40,235,ToNumber
code-creation,Builtin,3,3210,0x1354d40,272,ToNumberConvertBigInt
code-creation,Builtin,3,3255,0x1354e60,275,ToNumeric
code-creation,Builtin,3,3298,0x1354f80,261,NumberToString
code-creation,Builtin,3,3339,0x13550a0,466,ToInteger
code-creation,Builtin,3,3380,0x1355280,478,ToInteger_TruncateMinusZero
code-creation,Builtin,3,3421,0x1355460,394,ToLength
code-creation,Builtin,3,3461,0x1355600,140,Typeof
code-creation,Builtin,3,3496,0x13556a0,69,GetSuperConstructor
code-creation,Builtin,3,3576,0x1355700,133,BigIntToI64
code-creation,Builtin,3,3603,0x13557a0,12,BigIntToI32Pair
code-creation,Builtin,3,3608,0x13557c0,285,I64ToBigInt
code-creation,Builtin,3,3611,0x13558e0,12,I32PairToBigInt
code-creation,Builtin,3,3633,0x1355900,112,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,3675,0x1355980,2585,KeyedLoadIC_PolymorphicName
